psm,oem,result,target,img,model
0,-,-,H764KE799,H764KE799,clean_plate11,by_letters_easyocr
1,-,-,{005KH,C005KM190,clean_plate12,by_letters_easyocr
2,-,-,A4154E974,A715AE977,clean_plate13,by_letters_easyocr
3,-,-,H764KE799,H764KE799,clean_plate21,by_letters_easyocr
4,-,-,{005J,C005KM190,clean_plate22,by_letters_easyocr
5,-,-,A745E477,A715AE977,clean_plate23,by_letters_easyocr
6,-,-,H74KE790,H764KE799,clean_plate31,by_letters_easyocr
7,-,-,4005K,C005KM190,clean_plate32,by_letters_easyocr
8,-,-,A715A97,A715AE977,clean_plate33,by_letters_easyocr
0,-,-,H764KE799,H764KE799,clean_plate11,easyocr
1,-,-,Co5ka@,C005KM190,clean_plate12,easyocr
2,-,-,A7154E97Z,A715AE977,clean_plate13,easyocr
3,-,-,H764KE1v99,H764KE799,clean_plate21,easyocr
4,-,-,cooskMg,C005KM190,clean_plate22,easyocr
5,-,-,071548974,A715AE977,clean_plate23,easyocr
6,-,-,H764KE799,H764KE799,clean_plate31,easyocr
7,-,-,Cosx@,C005KM190,clean_plate32,easyocr
8,-,-,A71548972,A715AE977,clean_plate33,easyocr
0,0,0,,H764KE799,clean_plate11,by_letters_tesseract
1,0,1,,H764KE799,clean_plate11,by_letters_tesseract
2,0,2,,H764KE799,clean_plate11,by_letters_tesseract
3,0,3,,H764KE799,clean_plate11,by_letters_tesseract
4,1,0,,H764KE799,clean_plate11,by_letters_tesseract
5,1,1,,H764KE799,clean_plate11,by_letters_tesseract
6,1,2,,H764KE799,clean_plate11,by_letters_tesseract
7,1,3,,H764KE799,clean_plate11,by_letters_tesseract
8,2,0,,H764KE799,clean_plate11,by_letters_tesseract
9,2,1,,H764KE799,clean_plate11,by_letters_tesseract
10,2,2,,H764KE799,clean_plate11,by_letters_tesseract
11,2,3,,H764KE799,clean_plate11,by_letters_tesseract
12,3,0,,H764KE799,clean_plate11,by_letters_tesseract
13,3,1,,H764KE799,clean_plate11,by_letters_tesseract
14,3,2,,H764KE799,clean_plate11,by_letters_tesseract
15,3,3,,H764KE799,clean_plate11,by_letters_tesseract
16,4,0,,H764KE799,clean_plate11,by_letters_tesseract
17,4,1,,H764KE799,clean_plate11,by_letters_tesseract
18,4,2,,H764KE799,clean_plate11,by_letters_tesseract
19,4,3,,H764KE799,clean_plate11,by_letters_tesseract
20,5,0,,H764KE799,clean_plate11,by_letters_tesseract
21,5,1,1,H764KE799,clean_plate11,by_letters_tesseract
22,5,2,,H764KE799,clean_plate11,by_letters_tesseract
23,5,3,1,H764KE799,clean_plate11,by_letters_tesseract
24,6,0,,H764KE799,clean_plate11,by_letters_tesseract
25,6,1,74KE7,H764KE799,clean_plate11,by_letters_tesseract
26,6,2,,H764KE799,clean_plate11,by_letters_tesseract
27,6,3,74KE7,H764KE799,clean_plate11,by_letters_tesseract
28,7,0,,H764KE799,clean_plate11,by_letters_tesseract
29,7,1,74K9,H764KE799,clean_plate11,by_letters_tesseract
30,7,2,,H764KE799,clean_plate11,by_letters_tesseract
31,7,3,74K9,H764KE799,clean_plate11,by_letters_tesseract
32,8,0,,H764KE799,clean_plate11,by_letters_tesseract
33,8,1,H764KE799,H764KE799,clean_plate11,by_letters_tesseract
34,8,2,,H764KE799,clean_plate11,by_letters_tesseract
35,8,3,H764KE799,H764KE799,clean_plate11,by_letters_tesseract
36,9,0,,H764KE799,clean_plate11,by_letters_tesseract
37,9,1,H764K799,H764KE799,clean_plate11,by_letters_tesseract
38,9,2,,H764KE799,clean_plate11,by_letters_tesseract
39,9,3,H764K799,H764KE799,clean_plate11,by_letters_tesseract
40,10,0,,H764KE799,clean_plate11,by_letters_tesseract
41,10,1,H764K799,H764KE799,clean_plate11,by_letters_tesseract
42,10,2,,H764KE799,clean_plate11,by_letters_tesseract
43,10,3,H764K799,H764KE799,clean_plate11,by_letters_tesseract
44,11,0,,H764KE799,clean_plate11,by_letters_tesseract
45,11,1,79,H764KE799,clean_plate11,by_letters_tesseract
46,11,2,,H764KE799,clean_plate11,by_letters_tesseract
47,11,3,79,H764KE799,clean_plate11,by_letters_tesseract
48,12,0,,H764KE799,clean_plate11,by_letters_tesseract
49,12,1,799,H764KE799,clean_plate11,by_letters_tesseract
50,12,2,,H764KE799,clean_plate11,by_letters_tesseract
51,12,3,799,H764KE799,clean_plate11,by_letters_tesseract
52,13,0,,H764KE799,clean_plate11,by_letters_tesseract
53,13,1,H764KE799,H764KE799,clean_plate11,by_letters_tesseract
54,13,2,,H764KE799,clean_plate11,by_letters_tesseract
55,13,3,H764KE799,H764KE799,clean_plate11,by_letters_tesseract
56,0,0,,C005KM190,clean_plate12,by_letters_tesseract
57,0,1,,C005KM190,clean_plate12,by_letters_tesseract
58,0,2,,C005KM190,clean_plate12,by_letters_tesseract
59,0,3,,C005KM190,clean_plate12,by_letters_tesseract
60,1,0,,C005KM190,clean_plate12,by_letters_tesseract
61,1,1,,C005KM190,clean_plate12,by_letters_tesseract
62,1,2,,C005KM190,clean_plate12,by_letters_tesseract
63,1,3,,C005KM190,clean_plate12,by_letters_tesseract
64,2,0,,C005KM190,clean_plate12,by_letters_tesseract
65,2,1,,C005KM190,clean_plate12,by_letters_tesseract
66,2,2,,C005KM190,clean_plate12,by_letters_tesseract
67,2,3,,C005KM190,clean_plate12,by_letters_tesseract
68,3,0,,C005KM190,clean_plate12,by_letters_tesseract
69,3,1,,C005KM190,clean_plate12,by_letters_tesseract
70,3,2,,C005KM190,clean_plate12,by_letters_tesseract
71,3,3,,C005KM190,clean_plate12,by_letters_tesseract
72,4,0,,C005KM190,clean_plate12,by_letters_tesseract
73,4,1,,C005KM190,clean_plate12,by_letters_tesseract
74,4,2,,C005KM190,clean_plate12,by_letters_tesseract
75,4,3,,C005KM190,clean_plate12,by_letters_tesseract
76,5,0,,C005KM190,clean_plate12,by_letters_tesseract
77,5,1,,C005KM190,clean_plate12,by_letters_tesseract
78,5,2,,C005KM190,clean_plate12,by_letters_tesseract
79,5,3,,C005KM190,clean_plate12,by_letters_tesseract
80,6,0,,C005KM190,clean_plate12,by_letters_tesseract
81,6,1,CE05KM4,C005KM190,clean_plate12,by_letters_tesseract
82,6,2,,C005KM190,clean_plate12,by_letters_tesseract
83,6,3,CE05KM4,C005KM190,clean_plate12,by_letters_tesseract
84,7,0,,C005KM190,clean_plate12,by_letters_tesseract
85,7,1,C005KM,C005KM190,clean_plate12,by_letters_tesseract
86,7,2,,C005KM190,clean_plate12,by_letters_tesseract
87,7,3,C005KM,C005KM190,clean_plate12,by_letters_tesseract
88,8,0,,C005KM190,clean_plate12,by_letters_tesseract
89,8,1,C005KM90,C005KM190,clean_plate12,by_letters_tesseract
90,8,2,,C005KM190,clean_plate12,by_letters_tesseract
91,8,3,C005KM90,C005KM190,clean_plate12,by_letters_tesseract
92,9,0,,C005KM190,clean_plate12,by_letters_tesseract
93,9,1,C005KM90,C005KM190,clean_plate12,by_letters_tesseract
94,9,2,,C005KM190,clean_plate12,by_letters_tesseract
95,9,3,C005KM90,C005KM190,clean_plate12,by_letters_tesseract
96,10,0,,C005KM190,clean_plate12,by_letters_tesseract
97,10,1,C005KM90,C005KM190,clean_plate12,by_letters_tesseract
98,10,2,,C005KM190,clean_plate12,by_letters_tesseract
99,10,3,C005KM90,C005KM190,clean_plate12,by_letters_tesseract
100,11,0,,C005KM190,clean_plate12,by_letters_tesseract
101,11,1,C0590,C005KM190,clean_plate12,by_letters_tesseract
102,11,2,,C005KM190,clean_plate12,by_letters_tesseract
103,11,3,C0590,C005KM190,clean_plate12,by_letters_tesseract
104,12,0,,C005KM190,clean_plate12,by_letters_tesseract
105,12,1,C05,C005KM190,clean_plate12,by_letters_tesseract
106,12,2,,C005KM190,clean_plate12,by_letters_tesseract
107,12,3,C05,C005KM190,clean_plate12,by_letters_tesseract
108,13,0,,C005KM190,clean_plate12,by_letters_tesseract
109,13,1,C005KM90,C005KM190,clean_plate12,by_letters_tesseract
110,13,2,,C005KM190,clean_plate12,by_letters_tesseract
111,13,3,C005KM90,C005KM190,clean_plate12,by_letters_tesseract
112,0,0,,A715AE977,clean_plate13,by_letters_tesseract
113,0,1,,A715AE977,clean_plate13,by_letters_tesseract
114,0,2,,A715AE977,clean_plate13,by_letters_tesseract
115,0,3,,A715AE977,clean_plate13,by_letters_tesseract
116,1,0,,A715AE977,clean_plate13,by_letters_tesseract
117,1,1,,A715AE977,clean_plate13,by_letters_tesseract
118,1,2,,A715AE977,clean_plate13,by_letters_tesseract
119,1,3,,A715AE977,clean_plate13,by_letters_tesseract
120,2,0,,A715AE977,clean_plate13,by_letters_tesseract
121,2,1,,A715AE977,clean_plate13,by_letters_tesseract
122,2,2,,A715AE977,clean_plate13,by_letters_tesseract
123,2,3,,A715AE977,clean_plate13,by_letters_tesseract
124,3,0,,A715AE977,clean_plate13,by_letters_tesseract
125,3,1,,A715AE977,clean_plate13,by_letters_tesseract
126,3,2,,A715AE977,clean_plate13,by_letters_tesseract
127,3,3,,A715AE977,clean_plate13,by_letters_tesseract
128,4,0,,A715AE977,clean_plate13,by_letters_tesseract
129,4,1,,A715AE977,clean_plate13,by_letters_tesseract
130,4,2,,A715AE977,clean_plate13,by_letters_tesseract
131,4,3,,A715AE977,clean_plate13,by_letters_tesseract
132,5,0,,A715AE977,clean_plate13,by_letters_tesseract
133,5,1,,A715AE977,clean_plate13,by_letters_tesseract
134,5,2,,A715AE977,clean_plate13,by_letters_tesseract
135,5,3,,A715AE977,clean_plate13,by_letters_tesseract
136,6,0,,A715AE977,clean_plate13,by_letters_tesseract
137,6,1,A745AE97,A715AE977,clean_plate13,by_letters_tesseract
138,6,2,,A715AE977,clean_plate13,by_letters_tesseract
139,6,3,A745AE97,A715AE977,clean_plate13,by_letters_tesseract
140,7,0,,A715AE977,clean_plate13,by_letters_tesseract
141,7,1,A4AE97,A715AE977,clean_plate13,by_letters_tesseract
142,7,2,,A715AE977,clean_plate13,by_letters_tesseract
143,7,3,A4AE97,A715AE977,clean_plate13,by_letters_tesseract
144,8,0,,A715AE977,clean_plate13,by_letters_tesseract
145,8,1,A745AE977,A715AE977,clean_plate13,by_letters_tesseract
146,8,2,,A715AE977,clean_plate13,by_letters_tesseract
147,8,3,A745AE977,A715AE977,clean_plate13,by_letters_tesseract
148,9,0,,A715AE977,clean_plate13,by_letters_tesseract
149,9,1,A4AE977,A715AE977,clean_plate13,by_letters_tesseract
150,9,2,,A715AE977,clean_plate13,by_letters_tesseract
151,9,3,A4AE977,A715AE977,clean_plate13,by_letters_tesseract
152,10,0,,A715AE977,clean_plate13,by_letters_tesseract
153,10,1,A4AE977,A715AE977,clean_plate13,by_letters_tesseract
154,10,2,,A715AE977,clean_plate13,by_letters_tesseract
155,10,3,A4AE977,A715AE977,clean_plate13,by_letters_tesseract
156,11,0,,A715AE977,clean_plate13,by_letters_tesseract
157,11,1,47,A715AE977,clean_plate13,by_letters_tesseract
158,11,2,,A715AE977,clean_plate13,by_letters_tesseract
159,11,3,47,A715AE977,clean_plate13,by_letters_tesseract
160,12,0,,A715AE977,clean_plate13,by_letters_tesseract
161,12,1,7,A715AE977,clean_plate13,by_letters_tesseract
162,12,2,,A715AE977,clean_plate13,by_letters_tesseract
163,12,3,7,A715AE977,clean_plate13,by_letters_tesseract
164,13,0,,A715AE977,clean_plate13,by_letters_tesseract
165,13,1,A745AE977,A715AE977,clean_plate13,by_letters_tesseract
166,13,2,,A715AE977,clean_plate13,by_letters_tesseract
167,13,3,A745AE977,A715AE977,clean_plate13,by_letters_tesseract
168,0,0,,H764KE799,clean_plate21,by_letters_tesseract
169,0,1,,H764KE799,clean_plate21,by_letters_tesseract
170,0,2,,H764KE799,clean_plate21,by_letters_tesseract
171,0,3,,H764KE799,clean_plate21,by_letters_tesseract
172,1,0,,H764KE799,clean_plate21,by_letters_tesseract
173,1,1,7,H764KE799,clean_plate21,by_letters_tesseract
174,1,2,,H764KE799,clean_plate21,by_letters_tesseract
175,1,3,7,H764KE799,clean_plate21,by_letters_tesseract
